DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1047
Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1050
Non-Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),4,N/A,1053
Non-Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1056
Non-Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),4,N/A,1059
Unknown,2020 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1062
Unknown,2021 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1065
Unknown,Total,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1068
Total,2020 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),4,N/A,1071
Total,2021 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1074
Total,Total,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),4,N/A,1077
Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1080
Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1083
Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1086
Non-Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),19,0.1,1089
Non-Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1092
Non-Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),19,0.1,1095
Unknown,2020 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1098
Unknown,2021 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1101
Unknown,Total,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1104
Total,2020 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),19,0.1,1107
Total,2021 **,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),0,N/A,1110
Total,Total,Human immunodeficiency virus (HIV) disease resulting in other conditions (B23),19,0.1,1113
Hispanic,2020 **,Unspecified human immunodeficiency virus (HIV) disease (B24),1,N/A,1116
Hispanic,2021 **,Unspecified human immunodeficiency virus (HIV) disease (B24),0,N/A,1119
Hispanic,Total,Unspecified human immunodeficiency virus (HIV) disease (B24),1,N/A,1122
Non-Hispanic,2020 **,Unspecified human immunodeficiency virus (HIV) disease (B24),19,0.2,1125
Non-Hispanic,2021 **,Unspecified human immunodeficiency virus (HIV) disease (B24),0,N/A,1128
Non-Hispanic,Total,Unspecified human immunodeficiency virus (HIV) disease (B24),19,0.1,1131
Unknown,2020 **,Unspecified human immunodeficiency virus (HIV) disease (B24),0,N/A,1134
Unknown,2021 **,Unspecified human immunodeficiency virus (HIV) disease (B24),0,N/A,1137
Unknown,Total,Unspecified human immunodeficiency virus (HIV) disease (B24),0,N/A,1140
Total,2020 **,Unspecified human immunodeficiency virus (HIV) disease (B24),20,0.2,1143
Total,2021 **,Unspecified human immunodeficiency virus (HIV) disease (B24),0,N/A,1146
Total,Total,Unspecified human immunodeficiency virus (HIV) disease (B24),20,0.1,1149
Hispanic,2020 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),4,N/A,1152
Hispanic,2021 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),0,N/A,1155
Hispanic,Total,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),4,N/A,1158
Non-Hispanic,2020 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),123,0.8,1161
Non-Hispanic,2021 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),0,N/A,1164
Non-Hispanic,Total,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),123,0.4,1167
Unknown,2020 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),0,N/A,1170
Unknown,2021 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),0,N/A,1173
Unknown,Total,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),0,N/A,1176
Total,2020 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),127,0.8,1179
Total,2021 **,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),0,N/A,1182
Total,Total,All other and unspecified viral diseases (A81A85.0-A85.1A85.8A86-A89B01B04B07-B09B25-B34),127,0.4,1185
Hispanic,2020 **,Mycoses(B35-B49),1,N/A,1188
Hispanic,2021 **,Mycoses(B35-B49),0,N/A,1191
Hispanic,Total,Mycoses(B35-B49),1,N/A,1194
Non-Hispanic,2020 **,Mycoses(B35-B49),46,0.3,1197
Non-Hispanic,2021 **,Mycoses(B35-B49),0,N/A,1200
Non-Hispanic,Total,Mycoses(B35-B49),46,0.2,1203
Unknown,2020 **,Mycoses(B35-B49),0,N/A,1206
Unknown,2021 **,Mycoses(B35-B49),0,N/A,1209
Unknown,Total,Mycoses(B35-B49),0,N/A,1212
Total,2020 **,Mycoses(B35-B49),47,0.3,1215
Total,2021 **,Mycoses(B35-B49),0,N/A,1218
Total,Total,Mycoses(B35-B49),47,0.2,1221
Hispanic,2020 **,Malaria(B50-B54),0,N/A,1224
Hispanic,2021 **,Malaria(B50-B54),0,N/A,1227
Hispanic,Total,Malaria(B50-B54),0,N/A,1230
Non-Hispanic,2020 **,Malaria(B50-B54),0,N/A,1233
Non-Hispanic,2021 **,Malaria(B50-B54),0,N/A,1236
Non-Hispanic,Total,Malaria(B50-B54),0,N/A,1239
Unknown,2020 **,Malaria(B50-B54),0,N/A,1242
Unknown,2021 **,Malaria(B50-B54),0,N/A,1245
Unknown,Total,Malaria(B50-B54),0,N/A,1248
Total,2020 **,Malaria(B50-B54),0,N/A,1251
Total,2021 **,Malaria(B50-B54),0,N/A,1254
Total,Total,Malaria(B50-B54),0,N/A,1257
Hispanic,2020 **,Pneumocystosis (B59),0,N/A,1260
Hispanic,2021 **,Pneumocystosis (B59),0,N/A,1263
Hispanic,Total,Pneumocystosis (B59),0,N/A,1266
Non-Hispanic,2020 **,Pneumocystosis (B59),4,N/A,1269
Non-Hispanic,2021 **,Pneumocystosis (B59),0,N/A,1272
Non-Hispanic,Total,Pneumocystosis (B59),4,N/A,1275
Unknown,2020 **,Pneumocystosis (B59),0,N/A,1278
Unknown,2021 **,Pneumocystosis (B59),0,N/A,1281
Unknown,Total,Pneumocystosis (B59),0,N/A,1284
Total,2020 **,Pneumocystosis (B59),4,N/A,1287
Total,2021 **,Pneumocystosis (B59),0,N/A,1290
Total,Total,Pneumocystosis (B59),4,N/A,1293
Hispanic,2020 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1296
Hispanic,2021 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1299
Hispanic,Total,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1302
Non-Hispanic,2020 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1305
Non-Hispanic,2021 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1308
Non-Hispanic,Total,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1311
Unknown,2020 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1314
Unknown,2021 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1317
Unknown,Total,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1320
Total,2020 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1323
Total,2021 **,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1326
Total,Total,Other and unspecified protozoal diseases (B58B60-B64),0,N/A,1329
Hispanic,2020 **,Other and unspecified helminthiases(B66-B83),0,N/A,1332
Hispanic,2021 **,Other and unspecified helminthiases(B66-B83),0,N/A,1335
Hispanic,Total,Other and unspecified helminthiases(B66-B83),0,N/A,1338
Non-Hispanic,2020 **,Other and unspecified helminthiases(B66-B83),0,N/A,1341
Non-Hispanic,2021 **,Other and unspecified helminthiases(B66-B83),0,N/A,1344
Non-Hispanic,Total,Other and unspecified helminthiases(B66-B83),0,N/A,1347
Unknown,2020 **,Other and unspecified helminthiases(B66-B83),0,N/A,1350
Unknown,2021 **,Other and unspecified helminthiases(B66-B83),0,N/A,1353
Unknown,Total,Other and unspecified helminthiases(B66-B83),0,N/A,1356
Total,2020 **,Other and unspecified helminthiases(B66-B83),0,N/A,1359
Total,2021 **,Other and unspecified helminthiases(B66-B83),0,N/A,1362
Total,Total,Other and unspecified helminthiases(B66-B83),0,N/A,1365
Hispanic,2020 **,Sequelae of tuberculosis(B90),0,N/A,1368
Hispanic,2021 **,Sequelae of tuberculosis(B90),0,N/A,1371
Hispanic,Total,Sequelae of tuberculosis(B90),0,N/A,1374
Non-Hispanic,2020 **,Sequelae of tuberculosis(B90),1,N/A,1377
Non-Hispanic,2021 **,Sequelae of tuberculosis(B90),0,N/A,1380
Non-Hispanic,Total,Sequelae of tuberculosis(B90),1,N/A,1383
Unknown,2020 **,Sequelae of tuberculosis(B90),0,N/A,1386
Unknown,2021 **,Sequelae of tuberculosis(B90),0,N/A,1389
Unknown,Total,Sequelae of tuberculosis(B90),0,N/A,1392
Total,2020 **,Sequelae of tuberculosis(B90),1,N/A,1395
Total,2021 **,Sequelae of tuberculosis(B90),0,N/A,1398
Total,Total,Sequelae of tuberculosis(B90),1,N/A,1401
Hispanic,2020 **,Sequelae of poliomyelitis(B91),0,N/A,1404
Hispanic,2021 **,Sequelae of poliomyelitis(B91),0,N/A,1407
Hispanic,Total,Sequelae of poliomyelitis(B91),0,N/A,1410
Non-Hispanic,2020 **,Sequelae of poliomyelitis(B91),5,N/A,1413
Non-Hispanic,2021 **,Sequelae of poliomyelitis(B91),0,N/A,1416
Non-Hispanic,Total,Sequelae of poliomyelitis(B91),5,N/A,1419
Unknown,2020 **,Sequelae of poliomyelitis(B91),0,N/A,1422
Unknown,2021 **,Sequelae of poliomyelitis(B91),0,N/A,1425
Unknown,Total,Sequelae of poliomyelitis(B91),0,N/A,1428
Total,2020 **,Sequelae of poliomyelitis(B91),5,N/A,1431
Total,2021 **,Sequelae of poliomyelitis(B91),0,N/A,1434
Total,Total,Sequelae of poliomyelitis(B91),5,N/A,1437
Hispanic,2020 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),2,N/A,1440
Hispanic,2021 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),0,N/A,1443
Hispanic,Total,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),2,N/A,1446
Non-Hispanic,2020 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),46,0.3,1449
Non-Hispanic,2021 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),0,N/A,1452
Non-Hispanic,Total,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),46,0.2,1455
Unknown,2020 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),0,N/A,1458
Unknown,2021 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),0,N/A,1461
Unknown,Total,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),0,N/A,1464
Total,2020 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),48,0.3,1467
Total,2021 **,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),0,N/A,1470
Total,Total,All other and unspecified infectious and parasitic diseases and their sequelae (B85-B89B92-B99),48,0.2,1473
Hispanic,2020 **,Of lip (C00),0,N/A,1476
Hispanic,2021 **,Of lip (C00),0,N/A,1479
Hispanic,Total,Of lip (C00),0,N/A,1482
Non-Hispanic,2020 **,Of lip (C00),2,N/A,1485
Non-Hispanic,2021 **,Of lip (C00),0,N/A,1488
Non-Hispanic,Total,Of lip (C00),2,N/A,1491
Unknown,2020 **,Of lip (C00),0,N/A,1494
Unknown,2021 **,Of lip (C00),0,N/A,1497
Unknown,Total,Of lip (C00),0,N/A,1500
Total,2020 **,Of lip (C00),2,N/A,1503
Total,2021 **,Of lip (C00),0,N/A,1506
Total,Total,Of lip (C00),2,N/A,1509
Hispanic,2020 **,Of tongue(C01-C02),1,N/A,1512
Hispanic,2021 **,Of tongue(C01-C02),0,N/A,1515
Hispanic,Total,Of tongue(C01-C02),1,N/A,1518
Non-Hispanic,2020 **,Of tongue(C01-C02),122,0.8,1521
Non-Hispanic,2021 **,Of tongue(C01-C02),0,N/A,1524
Non-Hispanic,Total,Of tongue(C01-C02),122,0.4,1527
Unknown,2020 **,Of tongue(C01-C02),0,N/A,1530
Unknown,2021 **,Of tongue(C01-C02),0,N/A,1533
Unknown,Total,Of tongue(C01-C02),0,N/A,1536
Total,2020 **,Of tongue(C01-C02),123,0.8,1539
Total,2021 **,Of tongue(C01-C02),0,N/A,1542
Total,Total,Of tongue(C01-C02),123,0.4,1545
Hispanic,2020 **,Of pharynx (C10-C13C14.0),4,N/A,1548
Hispanic,2021 **,Of pharynx (C10-C13C14.0),0,N/A,1551
Hispanic,Total,Of pharynx (C10-C13C14.0),4,N/A,1554
Non-Hispanic,2020 **,Of pharynx (C10-C13C14.0),151,1.0,1557
Non-Hispanic,2021 **,Of pharynx (C10-C13C14.0),1,N/A,1560
Non-Hispanic,Total,Of pharynx (C10-C13C14.0),152,0.5,1563
Unknown,2020 **,Of pharynx (C10-C13C14.0),0,N/A,1566
Unknown,2021 **,Of pharynx (C10-C13C14.0),0,N/A,1569
Unknown,Total,Of pharynx (C10-C13C14.0),0,N/A,1572
Total,2020 **,Of pharynx (C10-C13C14.0),155,1.0,1575
Total,2021 **,Of pharynx (C10-C13C14.0),1,N/A,1578
Total,Total,Of pharynx (C10-C13C14.0),156,0.5,1581
Hispanic,2020 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1584
Hispanic,2021 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1587
Hispanic,Total,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1590
Non-Hispanic,2020 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),171,1.1,1593
Non-Hispanic,2021 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1596
Non-Hispanic,Total,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),171,0.6,1599
Unknown,2020 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1602
Unknown,2021 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1605
Unknown,Total,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1608
Total,2020 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),171,1.1,1611
Total,2021 **,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),0,N/A,1614
Total,Total,Of other and unspecified sites within the lip oral cavity and pharynx (C03-C09C14.2-C14.8),171,0.5,1617
Hispanic,2020 **,Of esophagus (C15),4,N/A,1620
Hispanic,2021 **,Of esophagus (C15),0,N/A,1623
Hispanic,Total,Of esophagus (C15),4,N/A,1626
Non-Hispanic,2020 **,Of esophagus (C15),621,4.0,1629
Non-Hispanic,2021 **,Of esophagus (C15),2,N/A,1632
Non-Hispanic,Total,Of esophagus (C15),623,2.0,1635
Unknown,2020 **,Of esophagus (C15),0,N/A,1638
Unknown,2021 **,Of esophagus (C15),0,N/A,1641
Unknown,Total,Of esophagus (C15),0,N/A,1644
Total,2020 **,Of esophagus (C15),625,4.0,1647
Total,2021 **,Of esophagus (C15),2,N/A,1650
Total,Total,Of esophagus (C15),627,2.0,1653
Hispanic,2020 **,Of stomach(C16),5,N/A,1656
Hispanic,2021 **,Of stomach(C16),0,N/A,1659
Hispanic,Total,Of stomach(C16),5,N/A,1662
Non-Hispanic,2020 **,Of stomach(C16),319,2.1,1665
Non-Hispanic,2021 **,Of stomach(C16),0,N/A,1668
Non-Hispanic,Total,Of stomach(C16),319,1.1,1671
Unknown,2020 **,Of stomach(C16),0,N/A,1674
Unknown,2021 **,Of stomach(C16),0,N/A,1677
Unknown,Total,Of stomach(C16),0,N/A,1680
Total,2020 **,Of stomach(C16),324,2.1,1683
Total,2021 **,Of stomach(C16),0,N/A,1686
Total,Total,Of stomach(C16),324,1.1,1689
Hispanic,2020 **,Of small intestine (C17),0,N/A,1692
Hispanic,2021 **,Of small intestine (C17),0,N/A,1695
Hispanic,Total,Of small intestine (C17),0,N/A,1698
Non-Hispanic,2020 **,Of small intestine (C17),60,0.4,1701
Non-Hispanic,2021 **,Of small intestine (C17),0,N/A,1704
Non-Hispanic,Total,Of small intestine (C17),60,0.2,1707
Unknown,2020 **,Of small intestine (C17),0,N/A,1710
Unknown,2021 **,Of small intestine (C17),0,N/A,1713
Unknown,Total,Of small intestine (C17),0,N/A,1716
Total,2020 **,Of small intestine (C17),60,0.4,1719
Total,2021 **,Of small intestine (C17),0,N/A,1722
Total,Total,Of small intestine (C17),60,0.2,1725
Hispanic,2020 **,Colon (C18),17,5.9,1728
Hispanic,2021 **,Colon (C18),0,N/A,1731
Hispanic,Total,Colon (C18),17,3.0,1734
Non-Hispanic,2020 **,Colon (C18),1476,9.9,1737
Non-Hispanic,2021 **,Colon (C18),9,N/A,1740
Non-Hispanic,Total,Colon (C18),1485,5.0,1743
Unknown,2020 **,Colon (C18),0,N/A,1746
Unknown,2021 **,Colon (C18),0,N/A,1749
Unknown,Total,Colon (C18),0,N/A,1752
Total,2020 **,Colon (C18),1493,9.8,1755
Total,2021 **,Colon (C18),9,N/A,1758
Total,Total,Colon (C18),1502,4.9,1761
Hispanic,2020 **,Rectosigmoid junction and rectum (C19-C20),4,N/A,1764
Hispanic,2021 **,Rectosigmoid junction and rectum (C19-C20),0,N/A,1767
Hispanic,Total,Rectosigmoid junction and rectum (C19-C20),4,N/A,1770
Non-Hispanic,2020 **,Rectosigmoid junction and rectum (C19-C20),425,2.9,1773
Non-Hispanic,2021 **,Rectosigmoid junction and rectum (C19-C20),1,N/A,1776
Non-Hispanic,Total,Rectosigmoid junction and rectum (C19-C20),426,1.4,1779
Unknown,2020 **,Rectosigmoid junction and rectum (C19-C20),0,N/A,1782
Unknown,2021 **,Rectosigmoid junction and rectum (C19-C20),0,N/A,1785
Unknown,Total,Rectosigmoid junction and rectum (C19-C20),0,N/A,1788
Total,2020 **,Rectosigmoid junction and rectum (C19-C20),429,2.8,1791
Total,2021 **,Rectosigmoid junction and rectum (C19-C20),1,N/A,1794
Total,Total,Rectosigmoid junction and rectum (C19-C20),430,1.4,1797
Hispanic,2020 **,Anus and anal canal(C21),0,N/A,1800
Hispanic,2021 **,Anus and anal canal(C21),0,N/A,1803
Hispanic,Total,Anus and anal canal(C21),0,N/A,1806
Non-Hispanic,2020 **,Anus and anal canal(C21),57,0.4,1809
Non-Hispanic,2021 **,Anus and anal canal(C21),0,N/A,1812
Non-Hispanic,Total,Anus and anal canal(C21),57,0.2,1815
Unknown,2020 **,Anus and anal canal(C21),0,N/A,1818
Unknown,2021 **,Anus and anal canal(C21),0,N/A,1821
Unknown,Total,Anus and anal canal(C21),0,N/A,1824
Total,2020 **,Anus and anal canal(C21),57,0.4,1827
Total,2021 **,Anus and anal canal(C21),0,N/A,1830
Total,Total,Anus and anal canal(C21),57,0.2,1833
Hispanic,2020 **,Liver(C22.0C22.2-C22.9),13,5.2,1836
Hispanic,2021 **,Liver(C22.0C22.2-C22.9),0,N/A,1839
Hispanic,Total,Liver(C22.0C22.2-C22.9),13,2.6,1842
Non-Hispanic,2020 **,Liver(C22.0C22.2-C22.9),593,3.7,1845
Non-Hispanic,2021 **,Liver(C22.0C22.2-C22.9),0,N/A,1848
Non-Hispanic,Total,Liver(C22.0C22.2-C22.9),593,1.9,1851
Unknown,2020 **,Liver(C22.0C22.2-C22.9),0,N/A,1854
Unknown,2021 **,Liver(C22.0C22.2-C22.9),0,N/A,1857
Unknown,Total,Liver(C22.0C22.2-C22.9),0,N/A,1860
Total,2020 **,Liver(C22.0C22.2-C22.9),606,3.7,1863
Total,2021 **,Liver(C22.0C22.2-C22.9),0,N/A,1866
Total,Total,Liver(C22.0C22.2-C22.9),606,1.9,1869
Hispanic,2020 **,Intrahepatic bile duct carcinoma (C22.1),5,N/A,1872
Hispanic,2021 **,Intrahepatic bile duct carcinoma (C22.1),0,N/A,1875
Hispanic,Total,Intrahepatic bile duct carcinoma (C22.1),5,N/A,1878
Non-Hispanic,2020 **,Intrahepatic bile duct carcinoma (C22.1),286,1.9,1881
Non-Hispanic,2021 **,Intrahepatic bile duct carcinoma (C22.1),0,N/A,1884
Non-Hispanic,Total,Intrahepatic bile duct carcinoma (C22.1),286,0.9,1887
Unknown,2020 **,Intrahepatic bile duct carcinoma (C22.1),0,N/A,1890
Unknown,2021 **,Intrahepatic bile duct carcinoma (C22.1),0,N/A,1893
Unknown,Total,Intrahepatic bile duct carcinoma (C22.1),0,N/A,1896
Total,2020 **,Intrahepatic bile duct carcinoma (C22.1),291,1.9,1899
Total,2021 **,Intrahepatic bile duct carcinoma (C22.1),0,N/A,1902
Total,Total,Intrahepatic bile duct carcinoma (C22.1),291,0.9,1905
Hispanic,2020 **,Of gallbladder and extrahepatic bile ducts(C23-C24),1,N/A,1908
