DeathEducationLevelEducationLevel,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
MASTERS DEGREE (E.G. MA MS..),Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),27,0.0,3198
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),12,0.0,3201
UNKNOWN,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),185,0.1,3204
Total,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),2586,1.5,3207
8TH GRADE OR LESS,Legal intervention (Y35Y89.0),9,N/A,3210
9TH THRU 12TH GRADE; NO DIPLOMA,Legal intervention (Y35Y89.0),50,0.0,3213
HIGH SCHOOL GRADUATE OR GED,Legal intervention (Y35Y89.0),113,0.1,3216
COLLEGE BUT NO DEGREE,Legal intervention (Y35Y89.0),27,0.0,3219
ASSOCIATE DEGREE (E.G. AA AS),Legal intervention (Y35Y89.0),11,0.0,3222
BACHELORS DEGREE (E.G. BA AB BS),Legal intervention (Y35Y89.0),9,N/A,3225
MASTERS DEGREE (E.G. MA MS..),Legal intervention (Y35Y89.0),1,N/A,3228
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Legal intervention (Y35Y89.0),1,N/A,3231
UNKNOWN,Legal intervention (Y35Y89.0),2,N/A,3234
Total,Legal intervention (Y35Y89.0),223,0.1,3237
8TH GRADE OR LESS,Discharge of firearms undetermined intent (Y22-Y24),9,N/A,3240
9TH THRU 12TH GRADE; NO DIPLOMA,Discharge of firearms undetermined intent (Y22-Y24),30,0.0,3243
HIGH SCHOOL GRADUATE OR GED,Discharge of firearms undetermined intent (Y22-Y24),80,0.0,3246
COLLEGE BUT NO DEGREE,Discharge of firearms undetermined intent (Y22-Y24),26,0.0,3249
ASSOCIATE DEGREE (E.G. AA AS),Discharge of firearms undetermined intent (Y22-Y24),6,N/A,3252
BACHELORS DEGREE (E.G. BA AB BS),Discharge of firearms undetermined intent (Y22-Y24),8,N/A,3255
MASTERS DEGREE (E.G. MA MS..),Discharge of firearms undetermined intent (Y22-Y24),1,N/A,3258
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,3261
UNKNOWN,Discharge of firearms undetermined intent (Y22-Y24),5,N/A,3264
Total,Discharge of firearms undetermined intent (Y22-Y24),165,0.1,3267
8TH GRADE OR LESS,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),161,0.1,3270
9TH THRU 12TH GRADE; NO DIPLOMA,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),254,0.1,3273
HIGH SCHOOL GRADUATE OR GED,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),632,0.4,3276
COLLEGE BUT NO DEGREE,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),181,0.1,3279
ASSOCIATE DEGREE (E.G. AA AS),Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),87,0.0,3282
BACHELORS DEGREE (E.G. BA AB BS),Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),99,0.1,3285
MASTERS DEGREE (E.G. MA MS..),Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),25,0.0,3288
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),18,0.0,3291
UNKNOWN,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),63,0.0,3294
Total,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),1520,0.9,3297
8TH GRADE OR LESS,Operations of war and their sequelae (Y36Y89.1),1,N/A,3300
9TH THRU 12TH GRADE; NO DIPLOMA,Operations of war and their sequelae (Y36Y89.1),0,N/A,3303
HIGH SCHOOL GRADUATE OR GED,Operations of war and their sequelae (Y36Y89.1),2,N/A,3306
COLLEGE BUT NO DEGREE,Operations of war and their sequelae (Y36Y89.1),1,N/A,3309
ASSOCIATE DEGREE (E.G. AA AS),Operations of war and their sequelae (Y36Y89.1),1,N/A,3312
BACHELORS DEGREE (E.G. BA AB BS),Operations of war and their sequelae (Y36Y89.1),0,N/A,3315
MASTERS DEGREE (E.G. MA MS..),Operations of war and their sequelae (Y36Y89.1),0,N/A,3318
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Operations of war and their sequelae (Y36Y89.1),0,N/A,3321
UNKNOWN,Operations of war and their sequelae (Y36Y89.1),0,N/A,3324
Total,Operations of war and their sequelae (Y36Y89.1),5,N/A,3327
8TH GRADE OR LESS,Complications of medical and surgical care (Y40-Y84Y88),155,0.1,3330
9TH THRU 12TH GRADE; NO DIPLOMA,Complications of medical and surgical care (Y40-Y84Y88),230,0.1,3333
HIGH SCHOOL GRADUATE OR GED,Complications of medical and surgical care (Y40-Y84Y88),989,0.5,3336
COLLEGE BUT NO DEGREE,Complications of medical and surgical care (Y40-Y84Y88),197,0.1,3339
ASSOCIATE DEGREE (E.G. AA AS),Complications of medical and surgical care (Y40-Y84Y88),140,0.1,3342
BACHELORS DEGREE (E.G. BA AB BS),Complications of medical and surgical care (Y40-Y84Y88),157,0.1,3345
MASTERS DEGREE (E.G. MA MS..),Complications of medical and surgical care (Y40-Y84Y88),79,0.0,3348
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Complications of medical and surgical care (Y40-Y84Y88),29,0.0,3351
UNKNOWN,Complications of medical and surgical care (Y40-Y84Y88),67,0.0,3354
Total,Complications of medical and surgical care (Y40-Y84Y88),2043,1.0,3357
8TH GRADE OR LESS,Total,138142,66.8,3360
9TH THRU 12TH GRADE; NO DIPLOMA,Total,219128,104.9,3363
HIGH SCHOOL GRADUATE OR GED,Total,820905,387.8,3366
COLLEGE BUT NO DEGREE,Total,148320,70.6,3369
ASSOCIATE DEGREE (E.G. AA AS),Total,77093,36.5,3372
BACHELORS DEGREE (E.G. BA AB BS),Total,131719,61.7,3375
MASTERS DEGREE (E.G. MA MS..),Total,47372,22.1,3378
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,20184,9.4,3381
UNKNOWN,Total,38682,18.6,3384
Total,Total,1641545,778.4,3387
